,house_name,house_detail
0,恆安邨 恆峰樓 (3座),高層 7室
1,華明邨 信明樓 (2座),低層 27室 開放式 1套
2,青衣邨 宜逸樓,低層 4室
3,華明邨 信明樓 (2座),高層 8室 開放式 1套
4,長安邨 安泊樓 (7座),高層 31室 2房
5,長安邨 安濤樓 (4座),高層 47室 1房
6,青衣邨 宜業樓,低層 18室 2房
7,華明邨 添明樓 (7座),中層 3室 2房
8,顯徑邨 顯貴樓 (7座),低層 9室 1房
9,博康邨 博裕樓 (4座),高層 11室 1房
10,天平邨 天祥樓 (2座),高層 10室 1房
11,祥華邨 祥智樓,中層 A7室 2房
12,德田邨 德瑞樓 (5座),中層 5C室 1套
13,翠屏(北)邨 翠桉樓,中層 20室 開放式
14,祥華邨 祥智樓,中層 C2室 開放式 1套
15,祥華邨 祥順樓,中層 9室 2房
16,青衣邨 宜居樓,低層 21室 3房
17,天平邨 天喜樓 (6座),低層 24室 2房
18,良景邨 良英樓 (7座),高層 10室 3房
19,長安邨 安湖樓 (5座),中層 27室 2房
20,運頭塘邨 運臨樓 (2座),中層 6室 2套
21,天平邨 天明樓 (4座),中層 34室 開放式
22,博康邨 博泰樓 (7座),低層 4室 3房
23,長發邨 敬發樓(1座),低層 18室
24,恆安邨 恆峰樓 (3座),高層 7室
25,華明邨 信明樓 (2座),低層 27室 開放式 1套
26,青衣邨 宜逸樓,低層 4室
27,華明邨 信明樓 (2座),高層 8室 開放式 1套
28,長安邨 安泊樓 (7座),高層 31室 2房
29,長安邨 安濤樓 (4座),高層 47室 1房
30,青衣邨 宜業樓,低層 18室 2房
31,華明邨 添明樓 (7座),中層 3室 2房
32,顯徑邨 顯貴樓 (7座),低層 9室 1房
33,博康邨 博裕樓 (4座),高層 11室 1房
34,天平邨 天祥樓 (2座),高層 10室 1房
35,祥華邨 祥智樓,中層 A7室 2房
36,德田邨 德瑞樓 (5座),中層 5C室 1套
37,翠屏(北)邨 翠桉樓,中層 20室 開放式
38,祥華邨 祥智樓,中層 C2室 開放式 1套
39,祥華邨 祥順樓,中層 9室 2房
40,青衣邨 宜居樓,低層 21室 3房
41,天平邨 天喜樓 (6座),低層 24室 2房
42,良景邨 良英樓 (7座),高層 10室 3房
43,長安邨 安湖樓 (5座),中層 27室 2房
44,運頭塘邨 運臨樓 (2座),中層 6室 2套
45,天平邨 天明樓 (4座),中層 34室 開放式
46,博康邨 博泰樓 (7座),低層 4室 3房
47,長發邨 敬發樓(1座),低層 18室
48,恆安邨 恆峰樓 (3座),高層 7室
49,華明邨 信明樓 (2座),低層 27室 開放式 1套
50,青衣邨 宜逸樓,低層 4室
51,華明邨 信明樓 (2座),高層 8室 開放式 1套
52,長安邨 安泊樓 (7座),高層 31室 2房
53,長安邨 安濤樓 (4座),高層 47室 1房
54,青衣邨 宜業樓,低層 18室 2房
55,華明邨 添明樓 (7座),中層 3室 2房
56,顯徑邨 顯貴樓 (7座),低層 9室 1房
57,博康邨 博裕樓 (4座),高層 11室 1房
58,天平邨 天祥樓 (2座),高層 10室 1房
59,祥華邨 祥智樓,中層 A7室 2房
60,德田邨 德瑞樓 (5座),中層 5C室 1套
61,翠屏(北)邨 翠桉樓,中層 20室 開放式
62,祥華邨 祥智樓,中層 C2室 開放式 1套
63,祥華邨 祥順樓,中層 9室 2房
64,青衣邨 宜居樓,低層 21室 3房
65,天平邨 天喜樓 (6座),低層 24室 2房
66,良景邨 良英樓 (7座),高層 10室 3房
67,長安邨 安湖樓 (5座),中層 27室 2房
68,運頭塘邨 運臨樓 (2座),中層 6室 2套
69,天平邨 天明樓 (4座),中層 34室 開放式
70,博康邨 博泰樓 (7座),低層 4室 3房
71,長發邨 敬發樓(1座),低層 18室
72,恆安邨 恆峰樓 (3座),高層 7室
73,華明邨 信明樓 (2座),低層 27室 開放式 1套
74,青衣邨 宜逸樓,低層 4室
75,華明邨 信明樓 (2座),高層 8室 開放式 1套
76,長安邨 安泊樓 (7座),高層 31室 2房
77,長安邨 安濤樓 (4座),高層 47室 1房
78,青衣邨 宜業樓,低層 18室 2房
79,華明邨 添明樓 (7座),中層 3室 2房
80,顯徑邨 顯貴樓 (7座),低層 9室 1房
81,博康邨 博裕樓 (4座),高層 11室 1房
82,天平邨 天祥樓 (2座),高層 10室 1房
83,祥華邨 祥智樓,中層 A7室 2房
84,德田邨 德瑞樓 (5座),中層 5C室 1套
85,翠屏(北)邨 翠桉樓,中層 20室 開放式
86,祥華邨 祥智樓,中層 C2室 開放式 1套
87,祥華邨 祥順樓,中層 9室 2房
88,青衣邨 宜居樓,低層 21室 3房
89,天平邨 天喜樓 (6座),低層 24室 2房
90,良景邨 良英樓 (7座),高層 10室 3房
91,長安邨 安湖樓 (5座),中層 27室 2房
92,運頭塘邨 運臨樓 (2座),中層 6室 2套
93,天平邨 天明樓 (4座),中層 34室 開放式
94,博康邨 博泰樓 (7座),低層 4室 3房
95,長發邨 敬發樓(1座),低層 18室
96,恆安邨 恆峰樓 (3座),高層 7室
97,華明邨 信明樓 (2座),低層 27室 開放式 1套
98,青衣邨 宜逸樓,低層 4室
99,華明邨 信明樓 (2座),高層 8室 開放式 1套
100,長安邨 安泊樓 (7座),高層 31室 2房
101,長安邨 安濤樓 (4座),高層 47室 1房
102,青衣邨 宜業樓,低層 18室 2房
103,華明邨 添明樓 (7座),中層 3室 2房
104,顯徑邨 顯貴樓 (7座),低層 9室 1房
105,博康邨 博裕樓 (4座),高層 11室 1房
106,天平邨 天祥樓 (2座),高層 10室 1房
107,祥華邨 祥智樓,中層 A7室 2房
108,德田邨 德瑞樓 (5座),中層 5C室 1套
109,翠屏(北)邨 翠桉樓,中層 20室 開放式
110,祥華邨 祥智樓,中層 C2室 開放式 1套
111,祥華邨 祥順樓,中層 9室 2房
112,青衣邨 宜居樓,低層 21室 3房
113,天平邨 天喜樓 (6座),低層 24室 2房
114,良景邨 良英樓 (7座),高層 10室 3房
115,長安邨 安湖樓 (5座),中層 27室 2房
